alpha_name,address_number,invoice_only,xh,xn,xd,xf,xp,xs,grand_total_2023,current_pay_term,net_days_to_pay,target_pay_term,country,commodity,sub_commodity
CANADIAN STANDARDS ASSOCIATION,70022279,,,63637.37,,,,,63637.37,N30,30,,CA,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
CAPACCIO ENVIRONMENTAL ENGINEERING INC,70016523,,,40959.24,,,,,40959.24,S43,15,30,US,FACILITIES,FACILITY MANAGEMENT EXPENSES
CARLSTROM PRESSED METAL CO,70016541,,,,,,197246.62,,197246.62,S41,10,30,US,"STEEL, FABRICATION",
CARR WOOD TECH,70221457,,,1373,,,,,1373,N30,30,,US,FACILITIES,FACILITY MANAGEMENT EXPENSES
CARRIER COMMERCIAL REFRIGERATION LTD,70218593,92585.42,,,,,,,92585.42,N60,60,,TH,PROFESSIONAL SERVICES,OTHER
CARRIER CORPORATION,70226629,13486.11,,,,,,,13486.11,N60,60,,US,PROFESSIONAL SERVICES,OTHER
CARRIER CORPORATION,70226630,14889849.9,,,,,,,14889849.9,N60,60,,US,PROFESSIONAL SERVICES,OTHER
CARRIER FIRE & SECURITY AMERICAS CORP,70248091,,,4190,,,,,4190,N30,30,,US,PROFESSIONAL SERVICES,OTHER
CARRIER FIRE & SECURITY BV,70046208,,,,,15703.53,808870.59,,824574.12,N60,60,,NL,"FINISHED GOODS/FIRE DET/ALARM, DETECTION",
CARRIER FIRE & SECURITY HONG KONG LTD,70217829,203170.43,,,,,,,203170.43,N60,60,,HK,PROFESSIONAL SERVICES,OTHER
CARRIER FIRE & SECURITY SINGAPORE LTD,70018146,606839.47,,,,,,,606839.47,N30,30,,SG,PROFESSIONAL SERVICES,OTHER
CARRIER MIDDLE EAST LTD - DUBAI,70114004,734732.4,,,,,,,734732.4,N30,30,,AE,PROFESSIONAL SERVICES,OTHER
CARRIER TECH INDIA LTD,70052699,,,1149319.06,,,,,1149319.06,N30,30,,IN,PROFESSIONAL SERVICES,OTHER
CENTURY SPRING CORPORATION - LOS ANGELES,70039787,,,,,,1920,,1920,X30,30,,US,"STEEL, FABRICATION",
"CEPEDA ASSOCIATES, INC. - LOUISVILLE",70178879,,63210.27,62975.36,,,,,126185.63,N30,30,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
CERAMTEC N.A.,70016013,,,,,,154804.04,-94359.98,60444.06,N30,30,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
"CHATILLION & SONS, INC., JOHN",70016607,,,,,,54250,-409,53841,N45,45,,US,BRASS & FABRICATION,
"CHEMOURS COMPANY FC, LLC",70017094,-75000,,,,,4511352.3,,4436352.3,N60,60,,US,CHEMICALS & GASES,
CHEMTREC,70140121,,,6410,,,,,6410,N30,30,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
CHEUK KIT INDUSTRIAL (HK) LTD,70048013,,,,,,18122.31,,18122.31,N90,90,,CN,"CABLES, WIRE, INSULATION, OTHER",
CHICAGO FLUID SYSTEM TECHNOLOGIES,70018213,,,,,,1337.35,,1337.35,X45,45,,US,"CABLES, WIRE, INSULATION, OTHER",
"CHIP 1 EXCHANGE USA, INC.",70231110,,,11382.96,,,,,11382.96,N60,60,,US,CONSUMABLE,NON INTEGRATOR PLANT CONSUMABLE
CHROMA TECHNOLOGY CORP,70248560,,,1131.56,,,,,1131.56,N30,30,,US,FACILITIES,"MACHINERY, EQUIPMENT AND SERVICES"
CHURCHILL CORPORATION,70016646,,,,,,2784,,2784,N45,45,,US,BRASS & FABRICATION,
"CIMQUEST, INC.",70227439,,,2250,,,,,2250,N30,30,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
"CINCINNATI FAN & VENTILATOR COMPANY, INC",70117218,,,6089.01,,,,,6089.01,N30,30,,US,FACILITIES,"MACHINERY, EQUIPMENT AND SERVICES"
CLAIGAN ENVIRONMENTAL INC,70243304,,,5300,,,,,5300,N30,30,,CA,FACILITIES,FACILITY MANAGEMENT EXPENSES
CLEAN HARBORS ENV SERVICES INC,70016714,,,2081.3,,,,,2081.3,S41,10,30,US,FACILITIES,FACILITY MANAGEMENT EXPENSES
"CLEARFIELD METAL TECHNOLOGIES, INC.",70252322,,,,,,36117.44,,36117.44,N60,60,,US,"STEEL, FABRICATION",
CMG     -    MARLBOROUGH,70022567,,,6890,,,,,6890,N45,45,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
COLD SPRING BROOK LLC,70016737,162913.22,,,,,,,162913.22,006,0,30,US,FACILITIES,BUILDINGS & REALESTATE
COLUMBIA PIPE & SUPPLY CO.INC. - HAMMOND,70016744,,,,,,437.25,,437.25,X30,30,,US,"FINISHED GOODS/FIRE DET/ALARM, DETECTION",
COMCAST CABLE COMMNICATION MGT - PHILA,70226258,453.57,,1125.95,,,,,1579.52,N30,30,,US,IT SERVICES,TELECOM
COMPETITIVE CENTERLESS GRIND,70016783,,1898.1,,,,,,1898.1,S51,45,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
"COMPLETE STAFFING SOLUTIONS, INC.",70022297,1088902.64,,,,,,,1088902.64,S41,10,30,US,CONTINGENT LABOR,OPERATIONS  SOW
COMPLIANT RESOURCES LLC,70247241,,,9843.5,,,,,9843.5,N30,30,,US,FACILITIES,FACILITY MANAGEMENT EXPENSES
CONSOLIDATED COATING COMPANY-BELLINGHAM,70030902,,112859.55,6955.5,,,,,119815.05,N30,30,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
"CONTROLS FOR AUTOMATION, INC.",70052631,,,,,,614.39,,614.39,CSH,0,60,US,ELECTRONICS & ELECTROMECHANICAL,
"CONVERGINT TECHNOLOGIES, LLC",70223256,,,67595.21,,,,,67595.21,N30,30,,US,FACILITIES,"MACHINERY, EQUIPMENT AND SERVICES"
COOPER CROUSE-HINDS MTL INC.,70018648,,,,,,12546.65,,12546.65,N30,30,,US,"FINISHED GOODS/FIRE DET/ALARM, DETECTION",
COOPER WHEELOCK,70020260,,,,,32032.8,494422.15,-1310.64,525144.31,N45,45,,US,"FINISHED GOODS/FIRE DET/ALARM, DETECTION",
COPPER & BRASS SALES,70016844,,,,,,592257.95,,592257.95,N45,45,,US,BRASS & FABRICATION,
"COSEN INTERNATIONAL, INC.",70221465,,,2741.96,,,,,2741.96,N30,30,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
COULSON HARNEY LLP,70219158,33062.69,,,,,,,33062.69,N30,30,,US,PROFESSIONAL SERVICES,CONSULTING
COVINGTON & BURLING LLP,70219171,608902.41,,,,,,,608902.41,N30,30,,US,PROFESSIONAL SERVICES,CONSULTING
"COWAN LOGISTICS, LLC",70252940,77364.53,,,,,,,77364.53,006,0,,US,LOGISTICS,TRANSPORTATION
"CROWN BUILDING MAINTENANCE, INC.",70030156,,,154.98,,,,,154.98,N30,30,,US,FACILITIES,"MACHINERY, EQUIPMENT AND SERVICES"
CROWN LIFT TRUCKS,70016882,,,64732.15,,,,,64732.15,S51,45,,US,FACILITIES,"MACHINERY, EQUIPMENT AND SERVICES"
CRYSTAL WAREHOUSE CORPORATION,70252946,37543.95,,,,,,,37543.95,006,0,,US,LOGISTICS,"3PL, STORAGE AND DISTRIBUTION"
CTC COIL TECHNOLOGY CORPORATION,70255125,,,13920,,,,,13920,CSH,0,30,TW,CONSUMABLE,NON INTEGRATOR PLANT CONSUMABLE
CTSI GLOBAL,70247229,7366818.5,,,,,,,7366818.5,S40,1,,US,LOGISTICS,TRANSPORTATION
"CUSTOM METAL CRAFTERS, INC.",70016906,,,,,,8670,,8670,X45,45,,US,BRASS & FABRICATION,
CYBERMETRICS CORPORATION,70144905,,,1596,,,,,1596,N30,30,,US,IT SERVICES,IT SOFTWARE
"DAVIS COMPANIES, INC.",70016953,369614.72,,,,,,,369614.72,N30,30,,US,CONTINGENT LABOR,OPERATIONS  SOW
DB MACHINE,70040866,,,3816,,,325124.3,,328940.3,N60,60,,US,BRASS & FABRICATION,
DEBURRING INC.,70047369,,856.38,,,,,,856.38,N30,30,,US,FACILITIES,"MACHINERY, EQUIPMENT AND SERVICES"
"DEKRA CERTIFICATION, INC. - ATLANTA",70252974,,,19100,,,,,19100,N30,30,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
DELOITTE TRANSACTIONS,70253348,133626.18,,,,,,,133626.18,006,0,,US,PROFESSIONAL SERVICES,CONSULTING
"DHL EXPRESS (USA), INC",70226268,363.41,,,,,,,363.41,006,0,,US,LOGISTICS,TRANSPORTATION
DIAMOND CASTING AND MACHINE,70017025,,,,,,124220.8,,124220.8,N30,30,,US,"STEEL, FABRICATION",
DIGI-KEY CORPORATION,70017032,,,4963.93,,,925.62,,5889.55,N30,30,,US,"FASTENERS, DISTRIBUTORS",
"DIGITIZE DESIGNS, LLC",70248590,,,54250,,,,,54250,N45,45,,US,PROFESSIONAL SERVICES,OTHER
DIRECT ENERGY BUSINESS - PHILADELPHIA,70182085,285103.55,,,,,,,285103.55,006,0,30,US,CONSUMABLE,NON INTEGRATOR PLANT CONSUMABLE
DISPLAY OVERSTOCK,70253196,,,4557.97,,,,,4557.97,CSH,0,30,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
DIVERSIFIED COMMUNICATIONS,70252973,,,17010,,,,,17010,S40,1,30,US,IT SERVICES,TELECOM
"DMG MORI USA, INC.",70020015,,,13752.5,,,,,13752.5,N45,45,,US,PROFESSIONAL SERVICES,SALES/ MARKETING/ COMMUNICATIONS SERVICES
"DNV GL USA, INC.",70017010,,,15000,,,,,15000,N30,30,,US,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
DNV UK LIMITED,70248542,,,7500,,,,,7500,N30,30,,GB,PROFESSIONAL SERVICES,ENGINEERING & TESTING SERVICES
DORMONT MANUFACTURING COMPANY,70254968,,,1122.75,,,,,1122.75,N30,30,,US,FACILITIES,"MACHINERY, EQUIPMENT AND SERVICES"
DOVICO SOFTWARE INC,70017063,,,6735.36,,,,,6735.36,N30,30,,CA,IT SERVICES,TELECOM
DS GRAPHICS INC.     -   LOWELL,70049101,1037.04,,,,,,,1037.04,N30,30,,US,OTHER SERVICES,OFFICE PRODUCTS & SERVICES
"DSV AIR & SEA, INC.",70139464,97565.51,,,,,,,97565.51,006,0,,US,LOGISTICS,TRANSPORTATION
DURABLE MECCO,70020150,,,246,,,,,246,S51,45,,US,PROFESSIONAL SERVICES,OTHER
DYNACAST INC - ELGIN,70048911,,,,,,18578.7,,18578.7,N30,30,,US,"STEEL, FABRICATION",
"EAC DESIGN, INC.",70174887,,,1198,,,,,1198,N30,30,,US,PROFESSIONAL SERVICES,FINANCIAL SERVICES
"EAGLE LEASING, INC.",70017104,,,62419.7,,,,,62419.7,S43,15,30,US,"FLEET VECHICLES, SERVICES AND EXPENSES","FLEET VECHICLES, SERVICES AND EXPENSES"
EAGLE STAINLESS TUBE CO.,70017107,,,,,,5330,,5330,N30,30,,US,"STEEL, FABRICATION",
"EAST CAROLINA METAL TREATING, INC.",70250398,,1430,4782.5,,,,,6212.5,N30,30,,US,PROFESSIONAL SERVICES,OTHER
EASTERN INDUSTRIAL PROD. INC.,70017119,,,,,,14707,,14707,N30,30,,US,BRASS & FABRICATION,
EASTERN PRECISION MACHINING LLC,70017123,,8028.52,2400,,,70997.8,-1272.02,80154.3,N30,30,,US,BRASS & FABRICATION,
EDWARDS - FARMINGTON,70062300,,,,,,499358.01,,499358.01,N30,30,,US,"FINISHED GOODS/FIRE DET/ALARM, DETECTION",
ELECTRICAL EQUIPMENT COMPANY,70017157,,,,,,789.1,,789.1,N45,45,,US,"FASTENERS, DISTRIBUTORS",
ELECTRICAL INSULATION SUPPLIER,70017189,,,646.26,,,,,646.26,S51,45,,US,FACILITIES,FACILITY MANAGEMENT EXPENSES
"ELECTRO-FIX, INC.",70017161,,,60025,,,,,60025,N30,30,,US,FACILITIES,FACILITY CONSTRUCTION AND PROJECTS
ELECTRO-MECHANICAL TECHNOLOGY,70018512,,,,,,1780.27,,1780.27,X30,30,,US,ELECTRONICS & ELECTROMECHANICAL,
ELECTRONIC COATING TECH - CLIFTON PARK,70246239,,51973.22,,,,,,51973.22,N30,30,,US,PROFESSIONAL SERVICES,OTHER
"ELECTRONIC FASTENERS, INC.",70017159,,,1500,,,1018.5,,2518.5,N30,30,,US,"FASTENERS, DISTRIBUTORS",
